P_dc,P_ac_real,Eff_real,Eff_est,P_ac_est,Error
157.26,35.1,22.31972529568867,35.3986587660562,55.667930775499975,20.567930775499974
157.26,66.2,42.09589215312222,35.3986587660562,55.667930775499975,-10.532069224500027
157.29,40.2,25.557886706084304,35.41036268031978,55.696959459874975,15.496959459874972
157.29000000000002,37.2,23.65058172801831,35.41036268031979,55.696959459875,18.496959459875
157.32,57.0,36.231884057971016,35.42206212941773,55.72598814199997,-1.27401185800003
157.38,83.00000000000001,52.73859448468675,35.445447642330656,55.78404549949999,-27.215954500500025
157.41,26.3,16.70796010418652,35.45713371124768,55.81307417487497,29.51307417487497
157.41,34.70000000000001,22.044342799059784,35.45713371124768,55.81307417487497,21.11307417487496
157.5,72.8,46.22222222222222,35.492165198412685,55.90016018749998,-16.89983981250002
157.68,32.1,20.357686453576864,35.56210816336884,56.07433215199999,23.974332151999988
157.76999999999998,33.50000000000001,21.23344108512392,35.59701977807883,56.161418103874965,22.661418103874958
157.86,56.5,35.7912073989611,35.63189157196249,56.2485040355,-0.2514959645000019
157.86,35.7,22.614975294564804,35.63189157196249,56.2485040355,20.548504035499995
157.89,22.099999999999998,13.997086579264046,35.64350666595413,56.27753267487497,34.17753267487497
157.95,20.599999999999994,13.04210193099082,35.666723613089566,56.33558994687497,35.735589946874974
158.01,67.70000000000002,42.84538953230809,35.689922922520715,56.393647209874985,-11.306352790125032
158.07,45.4,28.721452521034983,35.713104614332245,56.45170446387498,11.051704463874984
158.07,37.10000000000001,23.47061428481053,35.713104614332245,56.45170446387498,19.351704463874974
158.10000000000002,10.9,6.8943706514864,35.7246888598988,56.480733087500006,45.58073308750001
158.16,59.70000000000001,37.74658573596359,35.74784416287303,56.538790327999976,-3.1612096720000338
158.27999999999997,38.4,24.26080363912055,35.79410208617637,56.65490478199995,18.254904781999954
158.37,70.9,44.768579907810825,35.828749509929274,56.74199059887499,-14.158009401125014
158.39999999999998,61.6,38.88888888888889,35.84028989898988,56.77101919999996,-4.828980800000039
158.39999999999998,32.9,20.77020202020202,35.84028989898988,56.77101919999996,23.871019199999964
158.4,37.4,23.61111111111111,35.840289898989894,56.7710192,19.3710192
158.45999999999998,67.6,42.660608355420926,35.86335756373847,56.82907639549997,-10.770923604500027
158.54999999999998,54.9,34.62630085146642,35.89792631464836,56.916162171874966,2.016162171874967
158.61,69.1,43.56597944644095,35.92095034668368,56.974219344874996,-12.125780655124998
158.61,31.800000000000004,20.04917722716096,35.92095034668368,56.974219344874996,25.17421934487499
158.64,41.10000000000001,25.90771558245084,35.932455829551174,57.00324792799998,15.90324792799997
158.64,48.0,30.257186081694403,35.932455829551174,57.00324792799998,9.003247927999979
158.73,26.6,16.758016758016762,35.96694617518741,57.09033366387497,30.49033366387497
158.76,43.7,27.52582514487277,35.9784342642983,57.11936223799997,13.41936223799997
158.82,23.799999999999997,14.985518196700667,36.00139741814632,57.17741937949998,33.37741937949998
158.85,49.199999999999996,30.97261567516525,36.01287248780295,57.20644794687498,8.006447946874985
158.85,19.6,12.338684293358517,36.01287248780295,57.20644794687498,37.60644794687498
158.85,33.3,20.963172804532576,36.01287248780295,57.20644794687498,23.906447946874984
158.85,30.500000000000004,19.20050361976708,36.01287248780295,57.20644794687498,26.706447946874977
158.85,71.9,45.26282656594272,36.01287248780295,57.20644794687498,-14.693552053125025
